stamp_sec,stamp_nanosec,x,y,yaw
22,982000000,-1.4999388295587,-1.4999996370528015,2.908208880286261e-05
23,16000000,-1.499938796198805,-1.499999762607743,2.9215602257337335e-05
23,50000000,-1.4999387501476331,-1.4999997411380603,2.9239343634804686e-05
23,84000000,-1.4999387462238163,-1.4999996429538314,2.922226275703723e-05
23,118000000,-1.4999387837576563,-1.4999995500783476,2.9207091948251076e-05
23,152000000,-1.499938845852067,-1.499999486857124,2.9209427106638987e-05
23,186000000,-1.4999388913180811,-1.499999508506275,2.9263957261961495e-05
23,220000000,-1.499938909365428,-1.499999660530306,2.9403779846169293e-05
23,254000000,-1.499938907373966,-1.4999997499212132,2.9509902392088833e-05
23,288000000,-1.4999388641989853,-1.4999997377319594,2.9539381914904374e-05
23,322000000,-1.4999388597115226,-1.4999997022183227,2.9562285910327815e-05
23,356000000,-1.499938901502364,-1.4999996758563565,2.9588219355974975e-05
23,390000000,-1.4999389434727541,-1.4999996366079822,2.9606533928027277e-05
23,424000000,-1.499938914956131,-1.4999995779455073,2.960834528936999e-05
23,458000000,-1.4999388696884761,-1.4999995336760648,2.96271047693796e-05
23,492000000,-1.4999388353237881,-1.4999995404400548,2.9671477990053602e-05
23,526000000,-1.4999388531328641,-1.4999995630623089,2.9732453526276758e-05
23,560000000,-1.4999388575921921,-1.4999996238279256,2.980856517068428e-05
23,594000000,-1.4999388838735797,-1.4999996825555928,2.9893228409476672e-05
23,628000000,-1.4999389014161912,-1.4999996843845032,2.9935677171893996e-05
23,662000000,-1.4999388952925836,-1.4999996464046286,2.9955388397200558e-05
23,696000000,-1.4999388955984354,-1.4999996230544612,2.9984459148657574e-05
23,730000000,-1.4999387940013973,-1.4999996607300279,3.0049119011679827e-05
23,764000000,-1.4999386894334696,-1.499999683342402,3.0108812308829105e-05
23,798000000,-1.499938685642758,-1.4999996655012418,3.013884420331728e-05
23,832000000,-1.499938727661093,-1.4999996541564502,3.0175058501917745e-05
23,866000000,-1.4999388148719597,-1.4999996481119793,3.0214518829323643e-05
23,900000000,-1.4999388881268636,-1.4999996484559355,3.0255011951941855e-05
23,934000000,-1.4999389515270602,-1.4999996480423807,3.0301928438961373e-05
23,968000000,-1.4999389466279367,-1.4999996538306086,3.034755548488228e-05
24,2000000,-1.4999389562793883,-1.4999996593165088,3.0395264582235677e-05
24,36000000,-1.499938898717189,-1.4999996688636663,3.0446427652683502e-05
24,70000000,-1.4999389003077948,-1.4999996798931003,3.049511957179198e-05
24,104000000,-1.4999389478540452,-1.499999692084851,3.054616696588674e-05
24,138000000,-1.4999389712363231,-1.4999996575461734,3.056768228235245e-05
24,172000000,-1.499938977243926,-1.499999583231658,3.056375070869267e-05
24,206000000,-1.4999389676463604,-1.499999566077834,3.0593598928651605e-05
24,240000000,-1.4999389434771953,-1.4999996058115066,3.0661545338971426e-05
24,274000000,-1.4999388943087524,-1.4999996522262344,3.073024470606174e-05
24,308000000,-1.4999388349839158,-1.4999996717058068,3.079130474877222e-05
24,342000000,-1.4999388154197686,-1.4999996505545656,3.081978321400311e-05
24,376000000,-1.4999387503930188,-1.499999639057639,3.085566286618527e-05
24,410000000,-1.4999386918956201,-1.499999618462814,3.088317690703765e-05
24,444000000,-1.4999387553537349,-1.4999996262875994,3.093365113317962e-05
24,478000000,-1.4999388623524381,-1.4999996369169728,3.098219378035197e-05
24,512000000,-1.499938937219327,-1.499999651501143,3.103097553883558e-05
24,546000000,-1.4987840403207404,-1.4999996367593516,3.102378454049567e-05
24,580000000,-1.496473393629932,-1.4999995952716854,3.1141784628963045e-05
24,614000000,-1.49300656806798,-1.4999995021389108,3.109118183305882e-05
24,648000000,-1.4883833264445607,-1.4999993443516315,3.1271558586834874e-05
24,682000000,-1.4829433075939695,-1.4999991729344844,3.120908315649973e-05
24,716000000,-1.4775020576010065,-1.4999990375059906,3.1334954173089216e-05
24,750000000,-1.4720604063335676,-1.499998915090968,3.136267825022064e-05
24,784000000,-1.4666189814868438,-1.4999987523137068,3.143689311054813e-05
24,818000000,-1.4611782802353,-1.499998580585312,3.145601735537182e-05
24,852000000,-1.4557381334300459,-1.499998427336899,3.1497592387895356e-05
24,886000000,-1.4502986892081748,-1.4999982777655543,3.152891981506192e-05
24,920000000,-1.4448596203740487,-1.4999981341317796,3.1566855827584225e-05
24,954000000,-1.4394204517847955,-1.4999979997644506,3.1600887022709165e-05
24,988000000,-1.4339809398328007,-1.4999978655015715,3.1641581654309885e-05
25,22000000,-1.428541043662056,-1.49999773386459,3.168682624067006e-05
25,56000000,-1.4231007857134153,-1.49999760230059,3.173789785181779e-05
25,90000000,-1.4176604035400127,-1.4999974686066373,3.179099621725999e-05
25,124000000,-1.4122199454257651,-1.4999972828669874,3.1811001341556577e-05
25,158000000,-1.4067796247632232,-1.4999971043634945,3.183593216723677e-05
25,192000000,-1.4013395321274211,-1.4999969353315286,3.186844011114128e-05
25,226000000,-1.3958996603004252,-1.4999967739162012,3.190647213423715e-05
25,260000000,-1.3904598797381311,-1.4999966356331487,3.195453869455572e-05
