stamp_sec,stamp_nanosec,x,y,yaw
22,163000000,-1.4999387816595158,-1.4999997021610036,2.7839170436092437e-05
22,197000000,-1.4999387825060089,-1.4999997003049184,2.7883696067782783e-05
22,231000000,-1.499938805648901,-1.4999996378099547,2.7884386811494957e-05
22,265000000,-1.4999386880638461,-1.4999995942274962,2.7898800289294624e-05
22,299000000,-1.4999386226210658,-1.499999561438216,2.7921575744316815e-05
22,333000000,-1.4999386627006157,-1.499999579771198,2.7976447714514664e-05
22,367000000,-1.4999387447690364,-1.4999996653567313,2.8077751859164045e-05
22,401000000,-1.4999388698189209,-1.4999997406067764,2.8164842786867238e-05
22,435000000,-1.4999389558540095,-1.4999997459024472,2.8213036153291338e-05
22,469000000,-1.499938955737273,-1.4999997047018603,2.822421348197655e-05
22,503000000,-1.4999389127002405,-1.4999996380502219,2.8230830384769334e-05
22,537000000,-1.4999387460516733,-1.4999995650858697,2.8222280816005166e-05
22,571000000,-1.4999386828663743,-1.4999995057714812,2.823475059508692e-05
22,605000000,-1.4999386857287582,-1.4999994959857577,2.8269497481961157e-05
22,639000000,-1.499938699165618,-1.4999995698753206,2.8362109103569163e-05
22,673000000,-1.4999387763311174,-1.4999996358795207,2.8444110139476513e-05
22,707000000,-1.4999388977520818,-1.499999694030724,2.8523579255561226e-05
22,741000000,-1.49993897991752,-1.4999996963919395,2.8568028629711894e-05
22,775000000,-1.4999389353269588,-1.4999996425664386,2.8571615193330693e-05
22,809000000,-1.4999388936009364,-1.4999996295634983,2.8606062492846273e-05
22,843000000,-1.499938775913594,-1.4999996522925136,2.8667060095314343e-05
22,877000000,-1.4999387587376556,-1.499999670016184,2.8724670280939237e-05
22,911000000,-1.4999386465129123,-1.4999996923724472,2.8777888384352918e-05
22,945000000,-1.499938681007819,-1.4999997125404463,2.8835914515801646e-05
22,979000000,-1.499938758752069,-1.4999997324216656,2.888918201118557e-05
23,13000000,-1.4999388803470173,-1.4999997514044616,2.8945070412339623e-05
23,47000000,-1.4999389766508389,-1.4999996675015916,2.8936283197359828e-05
23,81000000,-1.4999390165387125,-1.4999995505007016,2.8906416221645617e-05
23,115000000,-1.4999389870518292,-1.4999994700355868,2.8895574064214246e-05
23,149000000,-1.4999389220385437,-1.499999483496675,2.8949728619292884e-05
23,183000000,-1.4999388295587,-1.4999996370528015,2.908208880286261e-05
23,217000000,-1.499938796198805,-1.499999762607743,2.9215602257337335e-05
23,251000000,-1.4999387501476331,-1.4999997411380603,2.9239343634804686e-05
23,285000000,-1.4999387462238163,-1.4999996429538314,2.922226275703723e-05
23,319000000,-1.4999387837576563,-1.4999995500783476,2.9207091948251076e-05
23,353000000,-1.499938845852067,-1.499999486857124,2.9209427106638987e-05
23,387000000,-1.4999388913180811,-1.499999508506275,2.9263957261961495e-05
23,421000000,-1.499938909365428,-1.499999660530306,2.9403779846169293e-05
23,455000000,-1.499938907373966,-1.4999997499212132,2.9509902392088833e-05
23,489000000,-1.4999388641989853,-1.4999997377319594,2.9539381914904374e-05
23,523000000,-1.4999388597115226,-1.4999997022183227,2.9562285910327815e-05
23,557000000,-1.499938901502364,-1.4999996758563565,2.9588219355974975e-05
23,591000000,-1.4999389434727541,-1.4999996366079822,2.9606533928027277e-05
23,625000000,-1.499938914956131,-1.4999995779455073,2.960834528936999e-05
23,659000000,-1.4999388696884761,-1.4999995336760648,2.96271047693796e-05
23,693000000,-1.4999388353237881,-1.4999995404400548,2.9671477990053602e-05
23,727000000,-1.4999388531328641,-1.4999995630623089,2.9732453526276758e-05
23,761000000,-1.4999388575921921,-1.4999996238279256,2.980856517068428e-05
23,795000000,-1.4999388838735797,-1.4999996825555928,2.9893228409476672e-05
23,829000000,-1.4999389014161912,-1.4999996843845032,2.9935677171893996e-05
23,863000000,-1.4999388952925836,-1.4999996464046286,2.9955388397200558e-05
23,897000000,-1.4999388955984354,-1.4999996230544612,2.9984459148657574e-05
23,931000000,-1.4999387940013973,-1.4999996607300279,3.0049119011679827e-05
23,965000000,-1.4999386894334696,-1.499999683342402,3.0108812308829105e-05
23,999000000,-1.499938685642758,-1.4999996655012418,3.013884420331728e-05
24,33000000,-1.499938727661093,-1.4999996541564502,3.0175058501917745e-05
24,67000000,-1.4999388148719597,-1.4999996481119793,3.0214518829323643e-05
24,101000000,-1.4999388881268636,-1.4999996484559355,3.0255011951941855e-05
24,135000000,-1.4999389515270602,-1.4999996480423807,3.0301928438961373e-05
24,169000000,-1.4999389466279367,-1.4999996538306086,3.034755548488228e-05
24,203000000,-1.4999389562793883,-1.4999996593165088,3.0395264582235677e-05
24,237000000,-1.499938898717189,-1.4999996688636663,3.0446427652683502e-05
24,271000000,-1.4999389003077948,-1.4999996798931003,3.049511957179198e-05
24,305000000,-1.4999389478540452,-1.499999692084851,3.054616696588674e-05
24,339000000,-1.4999389712363231,-1.4999996575461734,3.056768228235245e-05
24,373000000,-1.499938977243926,-1.499999583231658,3.056375070869267e-05
24,407000000,-1.4999389676463604,-1.499999566077834,3.0593598928651605e-05
24,441000000,-1.4999389434771953,-1.4999996058115066,3.0661545338971426e-05
24,475000000,-1.4999388943087524,-1.4999996522262344,3.073024470606174e-05
24,509000000,-1.4999388349839158,-1.4999996717058068,3.079130474877222e-05
24,543000000,-1.4999388154197686,-1.4999996505545656,3.081978321400311e-05
24,577000000,-1.4999387503930188,-1.499999639057639,3.085566286618527e-05
24,611000000,-1.4999386918956201,-1.499999618462814,3.088317690703765e-05
24,645000000,-1.4999387553537349,-1.4999996262875994,3.093365113317962e-05
24,679000000,-1.4999388623524381,-1.4999996369169728,3.098219378035197e-05
24,713000000,-1.499938937219327,-1.499999651501143,3.103097553883558e-05
24,747000000,-1.4999389860071572,-1.4999996573309897,3.1081981710179514e-05
24,781000000,-1.4999389847698292,-1.49999962227662,3.1102347975886815e-05
24,815000000,-1.499938957197585,-1.4999995969469067,3.1129489961086934e-05
24,849000000,-1.4999389368263456,-1.4999995846487644,3.1166515543827754e-05
